sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
294,369,05,426.72,440.46,316.2,2.12
214,389,05,564.91,131.6,550.7,1.25
172,26,06,2009.57,1143.18,1813.83,1.52
58,385,05,2681.44,956.47,2506.97,1.46
61,151,04,1688.21,648.78,1585.05,1.41
52,241,04,1523.69,743.09,1367.48,1.62
52,77,04,2135.6,939.55,1963.12,1.52
56,37,04,1048.35,649.91,912.46,1.64
385,88,05,3802.33,1573.51,3448.65,1.59
386,78,05,2213.71,1385.09,1864.24,1.79
211,148,05,1363.61,1325.82,1083.14,1.79
127,13,04,1128.21,396.21,1086.05,1.28
68,354,06,1966.26,752.42,1827.22,1.48
69,344,06,1496.01,1005.38,1279.09,1.76
77,264,06,2264.47,1048.31,2067.12,1.57
94,344,05,336.05,255.45,264.0,2.14
95,334,05,1099.89,749.29,944.51,1.68
400,362,05,2380.44,1577.58,1925.99,1.91
358,59,04,1002.3,762.02,847.74,1.69
96,324,05,3238.39,2063.86,2701.31,1.81
245,164,04,2294.69,1600.6,1874.36,1.86
316,65,05,3014.39,1578.84,2609.7,1.73
229,324,04,3192.65,1904.41,2683.24,1.82
317,151,05,1741.59,1008.7,1441.91,1.97
308,241,05,2309.54,620.32,2216.26,1.35
316,161,05,3748.21,1558.04,3387.47,1.6
293,244,05,1637.63,825.87,1472.76,1.57
297,204,05,1737.52,969.58,1548.11,1.58
239,224,04,2973.62,372.66,2948.02,1.14
321,379,04,2641.52,1142.21,2432.21,1.49
322,369,04,1443.39,580.11,1357.96,1.4
237,244,04,3626.82,2052.51,3193.84,1.63
262,65,05,1857.36,1161.91,1544.39,1.95
400,379,04,1889.69,1451.42,1511.96,1.95
392,397,05,865.67,893.82,650.98,1.99
397,347,05,1285.15,744.55,1137.69,1.59
399,340,04,388.88,216.33,344.46,1.61
129,49,06,2272.91,434.04,2233.29,1.21
351,232,05,2166.16,1335.88,1840.81,1.77
363,112,05,1071.72,493.39,985.37,1.48
128,59,06,2187.26,1272.15,1929.47,1.6
139,287,04,2688.0,1095.28,2482.25,1.49
129,387,04,622.63,251.83,586.57,1.38
151,29,05,2994.73,2153.72,2489.88,1.77
128,397,04,3138.67,1077.52,2932.63,1.48
194,200,04,834.23,416.58,754.36,1.53
181,330,04,323.89,132.24,305.76,1.37
192,83,04,1857.63,1213.63,1608.21,1.67
202,333,06,1812.56,1364.21,1506.36,1.76
52,362,06,2374.08,1612.34,2083.43,1.57
77,112,06,1843.63,1017.42,1664.8,1.53
200,353,06,393.88,685.54,247.11,2.02
51,372,06,3037.62,1825.58,2590.97,1.74
65,232,06,3150.67,1430.77,2836.53,1.61
64,242,06,3088.4,1997.19,2482.0,1.96
68,202,06,477.78,504.7,360.59,2.14
73,152,06,781.43,498.93,734.1,1.33
329,276,06,1080.51,693.05,954.03,1.59
78,102,06,2220.1,879.26,2083.26,1.41
86,291,05,734.47,607.1,613.81,1.7
88,271,05,1889.92,1476.81,1436.91,2.08
78,371,05,2140.13,1325.8,1827.45,1.74
241,48,06,1966.63,919.28,1768.18,1.64
240,58,06,470.76,524.25,356.77,1.97
243,28,06,894.07,802.03,755.41,1.65
383,396,05,2186.14,1394.57,1847.87,1.75
385,376,05,394.44,496.31,305.11,2.02
397,256,05,243.74,322.34,166.36,2.18
20,155,05,731.68,455.67,663.13,1.47
248,21,04,1556.77,634.81,1448.92,1.45
245,51,04,1616.3,888.25,1447.77,1.57
354,237,06,3805.81,895.0,3708.35,1.25
244,61,04,1055.54,432.38,890.97,2.47
241,91,04,2122.68,1590.91,1747.89,1.81
378,153,04,1955.92,1095.27,1697.19,1.7
367,263,04,742.19,371.37,689.12,1.42
366,273,04,624.12,639.12,378.89,3.1
312,194,05,1189.2,443.39,1134.78,1.33
88,202,04,2701.16,1756.96,2263.62,1.81
86,16,04,1129.61,526.56,1056.31,1.41
61,68,06,2942.96,1219.0,2729.8,1.46
240,13,04,1562.73,599.5,1460.16,1.44
91,172,04,1742.54,980.38,1523.75,1.66
206,137,05,392.89,385.07,339.35,1.51
48,276,05,386.03,325.25,325.33,1.68
59,166,05,3547.77,1485.42,3243.4,1.55
58,176,05,845.47,741.06,713.16,1.67
71,372,04,1091.05,448.12,1024.93,1.39
400,335,06,1159.64,431.57,1110.02,1.31
362,157,06,2730.92,1845.9,2248.17,1.84
224,340,05,2403.22,757.69,2292.75,1.36
245,130,05,470.07,429.83,361.77,2.14
237,210,05,1392.0,730.54,1231.94,1.66
244,140,05,1563.55,457.33,1501.89,1.32
48,164,04,2202.31,1285.26,1893.26,1.73
77,312,04,2315.09,1416.03,2025.93,1.62
246,120,05,1259.58,351.9,1211.0,1.33
330,246,05,2721.24,795.93,2623.4,1.3
324,306,05,572.34,422.66,409.51,3.18
133,116,05,4116.58,2444.55,3582.55,1.67
110,346,05,1153.4,413.94,1096.39,1.35
390,372,06,325.93,468.88,170.39,3.14
309,224,05,4043.0,1108.93,3908.98,1.29
68,244,06,1703.14,756.67,1556.28,1.52
77,154,06,2840.84,2252.0,2353.84,1.74
59,334,06,2433.81,1586.75,2005.34,1.85
229,70,06,1214.22,943.54,930.48,2.08
142,383,06,1930.95,1134.85,1669.28,1.71
151,293,06,1325.35,621.53,1217.22,1.5
309,383,05,3482.67,1711.46,3049.36,1.71
153,273,06,378.37,466.34,200.59,3.42
155,253,06,654.85,125.76,644.91,1.18
397,351,04,2943.21,1706.82,2451.38,1.89
48,68,05,1708.07,970.93,1483.97,1.68
266,16,04,2908.36,1271.95,2656.36,1.53
264,36,04,239.4,258.05,162.0,2.47
248,172,06,525.26,405.54,426.25,1.94
15,288,05,2501.58,771.26,2401.83,1.32
383,204,04,2065.21,1264.88,1807.03,1.62
371,324,04,2286.7,1026.04,2109.94,1.48
166,345,05,1258.78,560.79,1147.87,1.54
176,245,05,1461.68,713.57,1284.88,1.71
372,66,05,893.45,792.24,695.71,2.01
178,225,05,870.63,571.26,703.02,2.0
229,362,06,143.32,197.33,106.52,1.95
246,192,06,1856.59,1429.11,1378.51,2.22
70,212,06,1757.77,1022.71,1527.92,1.68
237,282,06,3399.19,1700.29,3023.8,1.61
259,329,05,2194.93,932.77,2043.48,1.43
262,299,05,631.79,565.19,536.72,1.59
329,161,04,1483.36,924.58,1305.21,1.59
308,371,04,1487.96,764.71,1374.68,1.44
316,291,04,2323.48,1234.25,2043.56,1.65
127,346,04,1030.19,386.58,984.84,1.31
128,336,04,1099.54,736.7,948.58,1.66
169,379,06,2037.67,1122.63,1828.66,1.55
204,114,04,450.37,230.85,420.72,1.38
172,233,05,2070.53,1218.61,1809.55,1.64
362,102,06,2842.18,1745.79,2390.63,1.79
351,212,06,1073.25,740.76,884.53,1.84
59,285,04,2247.21,601.24,2181.35,1.26
48,62,04,1424.15,1092.48,1250.9,1.54
324,90,06,1349.8,553.21,1233.91,1.58
329,40,06,2767.33,1194.25,2523.5,1.54
212,142,05,3527.38,2299.06,2877.79,1.9
202,242,05,1242.79,1009.48,988.35,1.91
194,48,04,1807.09,855.51,1679.08,1.42
192,68,04,1419.05,908.97,1233.88,1.69
210,64,05,1651.45,994.03,1392.12,1.81
385,93,06,1640.07,949.84,1477.44,1.53
32,303,06,662.67,935.35,396.48,2.36
51,113,06,3055.5,769.31,2971.03,1.26
329,86,06,2252.3,1317.43,1984.26,1.62
151,24,04,2839.04,1042.87,2674.28,1.41
175,397,06,2217.65,922.61,2047.71,1.48
341,107,05,3471.03,2124.58,2955.17,1.74
138,112,04,2068.52,1496.31,1683.51,1.87
110,392,04,1709.04,1388.98,1359.1,1.99
330,93,05,983.47,447.59,930.8,1.33
334,53,05,2223.48,1326.49,2022.37,1.46
48,289,04,818.09,710.33,708.09,1.62
245,108,05,2377.17,1624.21,1975.88,1.77
37,399,04,1099.58,770.62,945.31,1.65
112,372,04,1905.17,978.3,1708.49,1.58
266,96,04,2594.49,1396.23,2253.19,1.71
240,158,05,998.49,484.05,899.56,1.58
130,192,04,2055.38,1233.0,1749.48,1.91
243,58,05,1073.72,629.23,985.0,1.45
241,78,05,653.15,607.57,483.67,2.28
16,237,06,2626.39,1163.33,2434.95,1.44
244,48,05,626.0,548.87,515.76,1.75
26,137,06,1640.61,513.03,1580.05,1.3
243,128,05,1338.23,723.24,1238.84,1.42
242,68,05,1613.12,1222.86,1316.58,1.86
26,285,04,1826.64,703.55,1598.44,1.94
16,385,04,2747.53,1157.97,2527.47,1.51
246,28,05,2451.07,1338.42,2241.81,1.46
340,227,06,500.51,214.42,470.52,1.41
27,275,04,1495.29,500.12,1426.88,1.35
139,102,04,1449.32,631.36,1351.74,1.43
93,383,05,2540.25,1759.02,2035.18,1.97
392,237,04,3464.23,1383.47,3159.93,1.56
383,327,04,3559.3,2537.27,2856.07,1.93
385,191,04,2393.17,1109.46,2206.66,1.47
376,281,04,1435.26,636.96,1300.73,1.58
164,388,04,450.79,468.55,270.67,3.04
380,145,04,378.99,226.37,336.15,1.67
161,65,04,461.32,544.13,279.86,2.89
362,40,06,1148.88,759.68,969.1,1.78
372,225,04,2194.73,1121.39,1942.94,1.63
388,161,04,2698.92,991.53,2491.63,1.53
198,39,05,1283.04,808.16,1118.28,1.62
65,65,04,859.72,614.18,615.45,2.52
36,141,05,2250.03,881.0,2084.88,1.48
32,181,05,839.79,348.56,787.06,1.4
396,52,06,692.31,482.66,601.94,1.61
26,241,05,2527.13,1329.1,2225.04,1.69
13,371,05,939.76,373.0,905.2,1.26
15,351,05,2321.12,822.42,2206.65,1.35
154,192,06,2398.41,1073.26,2126.4,1.69
16,341,05,565.92,394.76,480.59,1.78
21,291,05,757.33,429.53,702.49,1.39
279,301,05,1095.8,951.53,929.4,1.66
107,141,05,1221.64,881.21,1037.29,1.7
281,281,05,528.29,629.13,243.92,3.89
282,271,05,1436.23,953.01,1160.37,1.98
272,371,05,971.18,770.74,799.41,1.76
91,237,06,2814.0,1159.59,2613.76,1.46
192,357,06,2409.55,812.32,2267.55,1.43
82,327,06,2387.71,829.63,2260.0,1.39
94,166,05,306.68,188.98,266.32,1.8
93,176,05,965.68,646.5,866.66,1.48
71,396,05,692.54,406.75,640.96,1.39
86,246,05,1979.75,709.77,1881.42,1.36
309,183,05,3403.25,1076.64,3262.06,1.32
322,385,04,516.12,521.44,334.53,2.82
336,245,04,2045.28,1114.17,1854.08,1.5
336,383,05,3248.16,1734.91,2875.23,1.64
349,253,05,208.81,582.56,126.4,1.76
335,255,04,552.69,286.92,506.52,1.54
368,229,06,2234.48,1290.56,1901.78,1.77
351,399,06,2273.91,913.32,2132.65,1.41
198,392,05,959.59,716.41,796.88,1.78
358,329,06,1687.62,711.03,1512.16,1.74
232,51,04,2675.53,1488.02,2391.15,1.56
23,271,05,2315.26,1334.2,1940.57,1.85
172,48,05,1804.91,1002.18,1609.37,1.59
186,179,05,221.42,106.18,205.34,1.43
184,199,05,885.77,380.31,807.97,1.58
240,378,04,2401.62,1410.7,2121.72,1.6
94,312,05,2972.48,680.53,2894.46,1.26
93,322,05,1359.15,573.51,1257.66,1.48
166,379,05,2897.86,1811.91,2491.26,1.69
264,138,04,479.49,548.49,379.32,1.96
230,71,04,240.42,146.68,221.82,1.4
372,381,05,1323.62,459.25,1263.75,1.33
386,241,05,2198.57,1397.1,1809.96,1.88
204,90,04,1496.63,706.87,1350.84,1.56
378,321,05,2466.31,1367.79,2167.8,1.63
175,289,05,1285.32,452.78,1212.18,1.4
396,141,05,2168.03,1146.55,1922.26,1.64
77,336,05,2969.23,1657.88,2583.64,1.69
383,271,05,457.93,473.31,321.37,2.41
252,258,04,2983.85,1584.16,2636.9,1.64
20,14,06,1526.83,765.8,1383.05,1.63
396,248,05,2815.18,1127.68,2629.61,1.44
383,378,05,894.74,753.68,709.05,1.92
392,288,05,3167.02,1980.03,2569.25,1.98
107,166,05,2392.57,1548.63,2036.37,1.71
16,51,05,2477.38,903.02,2355.16,1.35
288,5,04,840.12,570.35,766.99,1.47
241,368,04,2320.96,1259.86,2070.42,1.58
237,130,04,2115.32,825.29,1985.96,1.41
212,380,04,1605.0,690.53,1463.58,1.55
229,210,04,704.16,593.39,545.17,1.97
52,351,04,3268.75,1276.45,3052.97,1.44
371,24,04,1090.15,638.64,1000.18,1.44
390,69,05,2521.73,1649.13,2048.06,1.93
128,176,05,589.27,388.96,511.99,1.63
108,376,05,446.73,910.64,281.78,2.7
291,383,04,1599.31,1070.77,1332.1,1.83
107,386,05,1500.99,1089.31,1226.54,1.86
129,166,05,2857.54,905.0,2757.78,1.28
321,309,06,1047.76,587.22,915.0,1.68
241,23,04,1552.84,677.27,1430.85,1.48
242,13,04,1242.56,480.97,1172.35,1.38
133,209,05,3265.59,1581.34,2938.26,1.57
141,110,06,559.68,413.69,479.87,1.69
164,184,04,1337.37,964.04,1078.8,1.93
145,374,04,989.44,543.79,875.21,1.79
148,344,04,1191.77,525.63,1081.25,1.56
344,161,04,2060.85,770.77,1943.37,1.42
341,191,04,816.85,339.34,765.12,1.41
166,164,04,2960.45,1897.58,2567.54,1.65
333,271,04,2030.06,1747.79,1457.88,2.32
336,241,04,2064.86,989.17,1831.04,1.66
378,94,06,1427.22,1035.51,1207.86,1.75
112,400,06,371.87,490.45,235.07,2.43
198,320,04,1013.65,395.4,956.76,1.38
192,380,04,1985.96,1235.94,1684.33,1.77
110,86,06,1668.91,1132.99,1444.08,1.66
59,316,06,2189.88,1212.87,1895.5,1.72
65,256,06,1014.88,713.97,846.36,1.83
