sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
322,369,04,1621.68,1721.44,1296.91,1.72
237,244,04,2327.45,736.31,2235.81,1.31
262,65,05,2040.65,1137.37,1810.61,1.59
400,379,04,1200.41,860.04,1011.1,1.72
392,397,05,585.91,595.47,462.38,1.82
397,347,05,1102.47,714.02,997.28,1.48
399,340,04,482.48,315.74,391.93,1.9
128,59,06,1839.18,709.78,1711.7,1.46
351,232,05,1922.72,1190.92,1647.19,1.71
363,112,05,986.56,649.71,777.57,2.17
129,49,06,2001.29,336.83,1969.82,1.2
128,397,04,2734.07,1196.59,2487.62,1.55
151,29,05,1768.81,562.58,1692.12,1.34
129,387,04,589.56,71.99,584.98,1.13
194,200,04,696.3,242.33,664.3,1.34
181,330,04,292.07,67.51,284.73,1.25
192,83,04,1541.36,484.3,1479.73,1.32
200,353,06,265.48,250.36,218.21,1.66
51,372,06,2043.26,849.87,1897.05,1.45
78,102,06,1985.42,698.23,1885.65,1.37
202,333,06,1360.8,666.08,1228.43,1.55
68,202,06,379.58,413.89,280.23,2.15
73,152,06,729.06,384.67,688.96,1.32
52,362,06,2196.67,965.03,2030.29,1.46
65,232,06,2755.5,867.03,2612.11,1.4
329,276,06,937.24,528.03,850.74,1.49
77,112,06,1510.47,612.32,1418.66,1.4
86,291,05,778.47,881.05,615.25,1.78
78,371,05,1560.26,923.84,1386.2,1.58
88,271,05,1112.69,645.52,991.41,1.56
240,58,06,388.36,306.53,323.38,1.75
243,28,06,756.71,476.96,673.82,1.55
241,48,06,1746.37,785.6,1620.19,1.45
385,376,05,374.21,396.06,277.29,2.09
383,396,05,2420.0,1371.84,2039.57,1.82
397,256,05,203.49,316.86,137.97,2.1
20,155,05,715.64,432.48,651.0,1.46
244,61,04,993.5,282.19,952.97,1.34
248,21,04,1488.22,660.52,1385.48,1.42
64,242,06,2148.67,979.87,1945.15,1.56
245,51,04,1256.86,558.15,1151.81,1.54
241,91,04,1613.52,729.35,1465.59,1.57
367,263,04,692.49,438.92,646.99,1.35
366,273,04,474.88,469.5,295.71,2.92
362,157,06,1913.32,1343.67,1622.25,1.68
378,153,04,1315.58,635.52,1200.07,1.5
312,194,05,1368.19,640.66,1258.4,1.47
61,68,06,2767.78,1476.93,2430.63,1.65
86,16,04,1119.2,630.99,1015.11,1.5
240,13,04,1423.93,419.1,1352.8,1.4
71,372,04,1161.35,598.86,1066.85,1.45
206,137,05,345.53,115.05,331.83,1.3
48,276,05,314.2,235.74,278.7,1.53
58,176,05,746.45,333.08,627.92,2.19
59,166,05,2303.54,1242.21,2051.24,1.58
91,172,04,1681.29,978.75,1452.75,1.71
400,335,06,1201.05,610.51,1063.49,1.76
224,340,05,2200.52,627.29,2111.61,1.34
246,120,05,1143.39,454.85,890.85,2.8
245,130,05,422.48,334.62,339.65,2.0
244,140,05,1411.8,375.47,1370.07,1.27
48,164,04,1734.74,923.47,1504.68,1.73
88,202,04,1608.06,848.72,1454.24,1.52
237,210,05,1348.65,684.96,1213.23,1.57
324,306,05,648.16,481.78,433.77,2.95
110,346,05,1101.03,457.26,1004.35,1.66
133,116,05,3074.31,1121.67,2881.05,1.43
390,372,06,251.05,325.03,132.59,2.95
77,312,04,1868.88,947.94,1723.03,1.44
59,334,06,1654.84,943.4,1434.21,1.71
68,244,06,1400.31,642.48,1298.46,1.45
77,154,06,1803.06,655.68,1704.57,1.38
229,70,06,840.24,685.3,678.52,1.84
153,273,06,368.73,362.08,208.39,3.31
142,383,06,1307.73,909.14,1108.76,1.74
309,383,05,2198.22,1265.05,1946.63,1.59
155,253,06,709.23,305.15,670.16,1.35
151,293,06,1157.72,664.79,1062.34,1.45
397,351,04,1720.44,1008.09,1500.89,1.65
48,68,05,1163.29,735.46,1034.01,1.56
264,36,04,215.4,274.09,134.57,2.5
266,16,04,2738.5,1185.24,2521.36,1.49
